contract_code,option_side,strike_price,bid,ask,delta,underlying_spot
US.AOS260821C40000,CALL,40.0,19.5,24.5,0.0,62.04
US.AOS260821C45000,CALL,45.0,14.5,19.3,0.0,62.04
US.AOS260821C50000,CALL,50.0,9.5,14.3,0.0,62.04
US.AOS260821C55000,CALL,55.0,5.0,8.7,0.0,62.04
US.AOS260821C60000,CALL,60.0,2.1,4.7,0.67444211,62.04
US.AOS260821C65000,CALL,65.0,0.95,2.0,0.355432668,62.04
US.AOS260821C70000,CALL,70.0,0.0,0.9,0.111210434,62.04
US.AOS260821C75000,CALL,75.0,0.0,2.2,0.058036536,62.04
US.AOS260821C80000,CALL,80.0,0.0,0.25,0.013645465,62.04
US.AOS260821C85000,CALL,85.0,0.0,0.1,0.002462545,62.04
US.AOS260821P40000,PUT,40.0,0.0,0.05,-5.1648e-05,62.04
US.AOS260821P45000,PUT,45.0,0.0,0.05,-0.009592786,62.04
US.AOS260821P50000,PUT,50.0,0.05,0.55,-0.067334839,62.04
US.AOS260821P55000,PUT,55.0,0.2,0.5,-0.108190995,62.04
US.AOS260821P60000,PUT,60.0,1.4,2.55,-0.361225582,62.04
US.AOS260821P65000,PUT,65.0,2.55,5.9,-0.652190391,62.04
US.AOS260821P70000,PUT,70.0,6.8,10.5,-0.805853465,62.04
US.AOS260821P75000,PUT,75.0,11.6,15.6,-0.849100826,62.04
US.AOS260821P80000,PUT,80.0,16.0,20.9,-0.886972401,62.04
US.AOS260821P85000,PUT,85.0,21.0,25.9,-0.899030374,62.04
US.AOS260918C40000,CALL,40.0,19.5,24.5,0.0,62.04
US.AOS260918C45000,CALL,45.0,14.5,19.5,0.0,62.04
US.AOS260918C50000,CALL,50.0,10.0,14.1,0.0,62.04
US.AOS260918C55000,CALL,55.0,5.7,9.6,0.899363331,62.04
US.AOS260918C60000,CALL,60.0,2.75,5.8,0.648048974,62.04
US.AOS260918C65000,CALL,65.0,0.45,3.7,0.397221126,62.04
US.AOS260918C70000,CALL,70.0,0.0,2.0,0.196031114,62.04
US.AOS260918C75000,CALL,75.0,0.0,0.5,0.114235143,62.04
US.AOS260918C80000,CALL,80.0,0.0,4.8,0.046002747,62.04
US.AOS260918C85000,CALL,85.0,0.0,0.65,0.016130098,62.04
US.AOS260918P40000,PUT,40.0,0.0,2.15,-0.004573446,62.04
US.AOS260918P45000,PUT,45.0,0.0,2.25,-0.021586505,62.04
US.AOS260918P50000,PUT,50.0,0.0,2.5,-0.072288972,62.04
US.AOS260918P55000,PUT,55.0,0.6,1.0,-0.164752895,62.04
US.AOS260918P60000,PUT,60.0,0.2,3.9,-0.358066993,62.04
US.AOS260918P65000,PUT,65.0,3.0,6.5,-0.606697845,62.04
US.AOS260918P70000,PUT,70.0,7.2,10.5,-0.769484547,62.04
US.AOS260918P75000,PUT,75.0,11.8,15.7,-0.820459672,62.04
US.AOS260918P80000,PUT,80.0,16.1,21.0,-0.863955556,62.04
US.AOS260918P85000,PUT,85.0,21.0,25.9,-0.888471579,62.04
US.AOS261016C40000,CALL,40.0,19.6,24.5,0.0,62.04
US.AOS261016C45000,CALL,45.0,14.7,19.5,0.0,62.04
US.AOS261016C50000,CALL,50.0,10.0,14.8,0.0,62.04
US.AOS261016C55000,CALL,55.0,6.5,10.4,0.823630138,62.04
US.AOS261016C60000,CALL,60.0,4.5,6.5,0.629572296,62.04
US.AOS261016C65000,CALL,65.0,0.85,4.9,0.43464334,62.04
US.AOS261016C70000,CALL,70.0,0.0,3.3,0.285158608,62.04
US.AOS261016C75000,CALL,75.0,0.15,2.7,0.216350709,62.04
US.AOS261016C80000,CALL,80.0,0.0,0.55,0.083964342,62.04
US.AOS261016C85000,CALL,85.0,0.0,4.8,0.042748709,62.04
US.AOS261016P40000,PUT,40.0,0.0,2.3,-0.030479053,62.04
US.AOS261016P45000,PUT,45.0,0.0,2.45,-0.056833755,62.04
US.AOS261016P50000,PUT,50.0,0.2,1.95,-0.136039944,62.04
US.AOS261016P55000,PUT,55.0,0.4,1.9,-0.191889818,62.04
US.AOS261016P60000,PUT,60.0,2.55,3.3,-0.372500697,62.04
US.AOS261016P65000,PUT,65.0,3.5,7.7,-0.563758751,62.04
US.AOS261016P70000,PUT,70.0,7.4,11.5,-0.709268898,62.04
US.AOS261016P75000,PUT,75.0,11.8,15.8,-0.80641051,62.04
US.AOS261016P80000,PUT,80.0,16.7,20.6,-0.844870029,62.04
US.AOS261016P85000,PUT,85.0,21.0,25.9,-0.880794193,62.04
US.AOS261120C40000,CALL,40.0,19.7,24.5,0.0,62.04
US.AOS261120C45000,CALL,45.0,15.0,19.8,0.0,62.04
US.AOS261120C50000,CALL,50.0,11.6,15.1,0.891125086,62.04
US.AOS261120C55000,CALL,55.0,7.7,11.0,0.782073323,62.04
US.AOS261120C60000,CALL,60.0,4.5,7.5,0.632055657,62.04
US.AOS261120C65000,CALL,65.0,1.5,6.0,0.46489284,62.04
US.AOS261120C70000,CALL,70.0,0.0,2.7,0.354048882,62.04
US.AOS261120C75000,CALL,75.0,0.0,4.8,0.223977964,62.04
US.AOS261120C80000,CALL,80.0,0.0,4.8,0.12618261,62.04
US.AOS261120C85000,CALL,85.0,0.0,4.8,0.0702616,62.04
US.AOS261120P40000,PUT,40.0,0.05,0.45,-0.034458927,62.04
US.AOS261120P45000,PUT,45.0,0.0,2.65,-0.070448244,62.04
US.AOS261120P50000,PUT,50.0,0.3,2.85,-0.160989544,62.04
US.AOS261120P55000,PUT,55.0,0.45,4.2,-0.245914873,62.04
US.AOS261120P60000,PUT,60.0,1.75,5.6,-0.376654287,62.04
US.AOS261120P65000,PUT,65.0,4.3,9.0,-0.528334556,62.04
US.AOS261120P70000,PUT,70.0,7.6,12.4,-0.667325485,62.04
US.AOS261120P75000,PUT,75.0,11.7,16.5,-0.770739393,62.04
US.AOS261120P80000,PUT,80.0,16.2,21.0,-0.841931866,62.04
US.AOS261120P85000,PUT,85.0,21.0,25.9,-0.873371516,62.04
US.CPB260731C14000,CALL,14.0,7.3,10.1,0.0,22.96
US.CPB260731C15000,CALL,15.0,6.1,9.0,0.0,22.96
US.CPB260731C16000,CALL,16.0,5.6,7.6,0.0,22.96
US.CPB260731C16500,CALL,16.5,5.1,7.5,0.0,22.96
US.CPB260731C17000,CALL,17.0,5.6,6.2,0.0,22.96
US.CPB260731C17500,CALL,17.5,5.1,5.5,0.0,22.96
US.CPB260731C18000,CALL,18.0,2.75,6.9,0.0,22.96
US.CPB260731C18500,CALL,18.5,2.3,6.4,0.0,22.96
US.CPB260731C19000,CALL,19.0,2.05,5.9,0.984772375,22.96
US.CPB260731C19500,CALL,19.5,1.55,5.4,0.982988156,22.96
US.CPB260731C20000,CALL,20.0,1.05,4.9,0.980711357,22.96
US.CPB260731C20500,CALL,20.5,0.55,4.5,0.927586671,22.96
US.CPB260731C21000,CALL,21.0,1.05,2.05,0.0,22.96
US.CPB260731C21500,CALL,21.5,1.35,3.0,0.697726674,22.96
US.CPB260731C22000,CALL,22.0,0.55,1.05,0.0,22.96
US.CPB260731C22500,CALL,22.5,0.35,0.65,0.850057438,22.96
US.CPB260731C23000,CALL,23.0,0.15,0.2,0.474670641,22.96
US.CPB260731C23500,CALL,23.5,0.0,0.1,0.171352021,22.96
US.CPB260731C24000,CALL,24.0,0.0,0.15,0.120968313,22.96
US.CPB260731C24500,CALL,24.5,0.0,0.05,0.103603409,22.96
US.CPB260731C25000,CALL,25.0,0.0,0.05,0.071557854,22.96
US.CPB260731C25500,CALL,25.5,0.0,0.05,0.050606293,22.96
US.CPB260731C26000,CALL,26.0,0.0,2.15,0.036453469,22.96
US.CPB260731C26500,CALL,26.5,0.0,1.15,0.026599491,22.96
US.CPB260731C27000,CALL,27.0,0.0,0.5,0.019621585,22.96
US.CPB260731C27500,CALL,27.5,0.0,1.15,0.014639014,22.96
US.CPB260731C28000,CALL,28.0,0.0,2.15,0.011052599,22.96
US.CPB260731C29000,CALL,29.0,0.0,1.55,0.006326482,22.96
US.CPB260731C30000,CALL,30.0,0.0,1.15,0.003835091,22.96
US.CPB260731P14000,PUT,14.0,0.0,0.05,-0.000125947,22.96
US.CPB260731P15000,PUT,15.0,0.0,0.05,-0.000144706,22.96
US.CPB260731P16000,PUT,16.0,0.0,0.1,-0.000168254,22.96
US.CPB260731P16500,PUT,16.5,0.0,0.1,-0.000182482,22.96
US.CPB260731P17000,PUT,17.0,0.0,0.1,-0.000198869,22.96
US.CPB260731P17500,PUT,17.5,0.0,0.1,-0.000217972,22.96
US.CPB260731P18000,PUT,18.0,0.0,0.1,-0.000240566,22.96
US.CPB260731P18500,PUT,18.5,0.0,0.2,-0.000267758,22.96
US.CPB260731P19000,PUT,19.0,0.0,0.2,-0.000301188,22.96
US.CPB260731P19500,PUT,19.5,0.0,0.1,-0.000343385,22.96
US.CPB260731P20000,PUT,20.0,0.0,0.05,-0.055493909,22.96
US.CPB260731P20500,PUT,20.5,0.0,0.05,-0.001878436,22.96
US.CPB260731P21000,PUT,21.0,0.0,0.4,-0.074764977,22.96
US.CPB260731P21500,PUT,21.5,0.0,0.1,-0.050594145,22.96
US.CPB260731P22000,PUT,22.0,0.0,0.1,-0.118533043,22.96
US.CPB260731P22500,PUT,22.5,0.05,0.3,-0.29689329,22.96
US.CPB260731P23000,PUT,23.0,0.15,0.65,-0.506687147,22.96
US.CPB260731P23500,PUT,23.5,0.0,1.4,-0.658067206,22.96
US.CPB260731P24000,PUT,24.0,0.0,3.3,-0.730654671,22.96
US.CPB260731P24500,PUT,24.5,0.25,3.8,-0.693079702,22.96
US.CPB260731P25000,PUT,25.0,1.0,4.3,-0.693082259,22.96
US.CPB260731P25500,PUT,25.5,1.1,4.7,-0.773373373,22.96
US.CPB260731P26000,PUT,26.0,1.1,5.2,-0.889982691,22.96
US.CPB260731P26500,PUT,26.5,1.8,5.7,-0.851888304,22.96
US.CPB260731P27000,PUT,27.0,2.6,6.2,-0.812648298,22.96
US.CPB260731P27500,PUT,27.5,3.0,6.7,-0.835751143,22.96
US.CPB260731P28000,PUT,28.0,3.6,7.2,-0.829467491,22.96
US.CPB260731P29000,PUT,29.0,4.8,7.5,-0.923832672,22.96
US.CPB260731P30000,PUT,30.0,5.6,9.2,-0.852289898,22.96
US.CPB260807C14000,CALL,14.0,8.4,9.1,0.0,22.96
US.CPB260807C15000,CALL,15.0,5.8,9.9,0.0,22.96
US.CPB260807C16000,CALL,16.0,4.8,8.9,0.0,22.96
US.CPB260807C17000,CALL,17.0,3.8,7.9,0.0,22.96
US.CPB260807C17500,CALL,17.5,3.2,7.4,0.0,22.96
US.CPB260807C18000,CALL,18.0,2.75,6.9,0.0,22.96
US.CPB260807C18500,CALL,18.5,2.3,6.4,0.0,22.96
US.CPB260807C19000,CALL,19.0,1.8,5.9,0.0,22.96
US.CPB260807C19500,CALL,19.5,1.35,5.4,0.0,22.96
US.CPB260807C20000,CALL,20.0,0.8,4.9,0.0,22.96
US.CPB260807C20500,CALL,20.5,0.35,4.5,0.0,22.96
US.CPB260807C21000,CALL,21.0,0.9,2.65,0.0,22.96
US.CPB260807C21500,CALL,21.5,1.05,3.4,0.695255802,22.96
US.CPB260807C22000,CALL,22.0,0.9,2.05,0.685819849,22.96
US.CPB260807C22500,CALL,22.5,0.6,0.8,0.685729036,22.96
US.CPB260807C23000,CALL,23.0,0.35,0.55,0.503499739,22.96
US.CPB260807C23500,CALL,23.5,0.25,0.35,0.355401795,22.96
US.CPB260807C24000,CALL,24.0,0.1,0.2,0.217858303,22.96
US.CPB260807C24500,CALL,24.5,0.05,0.15,0.146581835,22.96
US.CPB260807C25000,CALL,25.0,0.0,2.2,0.109275602,22.96
US.CPB260807C25500,CALL,25.5,0.0,0.95,0.06534253,22.96
US.CPB260807C26000,CALL,26.0,0.0,1.05,0.037081619,22.96
US.CPB260807C26500,CALL,26.5,0.0,0.05,0.020072214,22.96
US.CPB260807C27000,CALL,27.0,0.0,2.15,0.010303147,22.96
US.CPB260807C28000,CALL,28.0,0.0,2.15,0.002384673,22.96
US.CPB260807C29000,CALL,29.0,0.0,2.15,0.000482734,22.96
US.CPB260807C30000,CALL,30.0,0.0,2.15,0.00023395,22.96
US.CPB260807P14000,PUT,14.0,0.0,0.15,-0.000124222,22.96
US.CPB260807P15000,PUT,15.0,0.0,0.25,-0.000142527,22.96
US.CPB260807P16000,PUT,16.0,0.0,0.25,-0.000165434,22.96
US.CPB260807P17000,PUT,17.0,0.0,2.15,-0.00079829,22.96
US.CPB260807P17500,PUT,17.5,0.0,0.15,-0.001705507,22.96
US.CPB260807P18000,PUT,18.0,0.0,0.05,-0.003209847,22.96
US.CPB260807P18500,PUT,18.5,0.0,2.15,-0.005993153,22.96
US.CPB260807P19000,PUT,19.0,0.0,2.15,-0.044080046,22.96
US.CPB260807P19500,PUT,19.5,0.0,2.15,-0.01952047,22.96
US.CPB260807P20000,PUT,20.0,0.0,0.05,-0.034072907,22.96
US.CPB260807P20500,PUT,20.5,0.0,0.05,-0.058093449,22.96
US.CPB260807P21000,PUT,21.0,0.05,0.1,-0.09545691,22.96
US.CPB260807P21500,PUT,21.5,0.05,0.15,-0.135005866,22.96
US.CPB260807P22000,PUT,22.0,0.05,0.25,-0.2058353,22.96
US.CPB260807P22500,PUT,22.5,0.1,0.35,-0.316990762,22.96
US.CPB260807P23000,PUT,23.0,0.15,0.6,-0.501538183,22.96
US.CPB260807P23500,PUT,23.5,0.05,2.1,-0.587616148,22.96
US.CPB260807P24000,PUT,24.0,0.15,2.05,-0.847611507,22.96
US.CPB260807P24500,PUT,24.5,0.55,3.6,-0.677750701,22.96
US.CPB260807P25000,PUT,25.0,0.75,4.4,-0.704408929,22.96
US.CPB260807P25500,PUT,25.5,1.25,4.8,-0.736137087,22.96
US.CPB260807P26000,PUT,26.0,1.4,5.2,-0.815871932,22.96
US.CPB260807P26500,PUT,26.5,2.1,5.7,-0.797305171,22.96
US.CPB260807P27000,PUT,27.0,2.1,6.2,-0.898617525,22.96
US.CPB260807P28000,PUT,28.0,3.3,7.2,-0.869592948,22.96
US.CPB260807P29000,PUT,29.0,4.1,8.2,-0.917798528,22.96
US.CPB260807P30000,PUT,30.0,5.3,9.2,-0.88858043,22.96
US.CPB260814C14000,CALL,14.0,6.8,10.9,0.0,22.96
US.CPB260814C15000,CALL,15.0,5.8,9.3,0.0,22.96
US.CPB260814C16000,CALL,16.0,4.8,8.5,0.0,22.96
US.CPB260814C17000,CALL,17.0,3.8,7.9,0.0,22.96
US.CPB260814C17500,CALL,17.5,3.3,7.4,0.0,22.96
US.CPB260814C18000,CALL,18.0,2.75,6.9,0.0,22.96
US.CPB260814C18500,CALL,18.5,2.3,6.4,0.0,22.96
US.CPB260814C19000,CALL,19.0,1.85,6.0,0.0,22.96
US.CPB260814C19500,CALL,19.5,1.35,5.5,0.0,22.96
US.CPB260814C20000,CALL,20.0,0.9,4.9,0.0,22.96
US.CPB260814C20500,CALL,20.5,0.95,4.6,0.83154347,22.96
US.CPB260814C21000,CALL,21.0,1.0,4.0,0.759115864,22.96
US.CPB260814C21500,CALL,21.5,1.3,1.9,0.862773439,22.96
US.CPB260814C22000,CALL,22.0,0.8,1.95,0.710452382,22.96
US.CPB260814C22500,CALL,22.5,0.75,1.1,0.634077171,22.96
US.CPB260814C23000,CALL,23.0,0.55,0.65,0.512597306,22.96
US.CPB260814C23500,CALL,23.5,0.3,0.5,0.386021788,22.96
US.CPB260814C24000,CALL,24.0,0.0,0.5,0.26440569,22.96
US.CPB260814C24500,CALL,24.5,0.1,0.25,0.19799232,22.96
US.CPB260814C25000,CALL,25.0,0.05,0.2,0.144381478,22.96
US.CPB260814C25500,CALL,25.5,0.0,0.15,0.08620442,22.96
US.CPB260814C26000,CALL,26.0,0.0,0.3,0.054336404,22.96
US.CPB260814C26500,CALL,26.5,0.0,2.2,0.03313636,22.96
US.CPB260814C27000,CALL,27.0,0.0,2.15,0.019509172,22.96
US.CPB260814C27500,CALL,27.5,0.0,0.3,0.011159487,22.96
US.CPB260814C28000,CALL,28.0,0.0,2.15,0.006230316,22.96
US.CPB260814C28500,CALL,28.5,0.0,2.15,0.00336743,22.96
US.CPB260814C29000,CALL,29.0,0.0,2.15,0.001765893,22.96
US.CPB260814C30000,CALL,30.0,0.0,2.15,0.000431149,22.96
